Mercadoria,Calorias(1000),Proteinas(gramas),Cálcio(gramas),Ferro(mg),Vitamina A(1000I.U.),Tiamina(mg.),Riboflavina(mg.),Niacina(mg.),Ácido Ascórbico(mg.)
Farinha de trigo (enriquecida),44.7,1411.0,2.0,365.0,0.0,55.4,33.3,441.0,0.0
Farinha de milho,36.0,897.0,1.7,99.0,30.9,17.4,7.9,106.0,0.0
Leite evaporado (lata),8.4,422.0,15.1,9.0,26.0,3.0,23.5,11.0,60.0
Margarina,20.6,17.0,0.6,6.0,55.8,0.2,0.0,0.0,0.0
Queijo (cheddar),7.4,448.0,16.4,19.0,28.1,0.8,10.3,4.0,0.0
Pasta de amendoim,15.7,661.0,1.0,48.0,0,9.6,8.1,471.0,0.0
Bacon,41.7,0.0,0.0,0.0,0.2,0.0,5.0,5.0,0.0
Fígado (boi),2.2,333.0,0.2,139.0,169.2,6.4,50.8,316.0,525.0
Lombo de porco assado,4.4,249.0,0.3,37.0,0.0,18.2,3.6,79.0,0.0
Salmão Rosa,5.8,705.0,6.8,45.0,3.5,1.0,4.9,209.0,0.0
Feijão verde,2.4,138.0,3.7,80.0,69.0,4.3,5.8,37.0,862.0
Repolho,2.6,125.0,4.0,36.0,7.2,9.0,4.5,26.0,5369.0
Cebola,5.8,166,3.8,59,16.6,4.7,5.9,21,1184
Batatas,14.3,336,1.8,118,6.7,29.4,7.1,198,2522
Espinafre,1.1,106,0,138,918.4,5.7,13.8,33,2755
Batata0doce,9.6,138,2.7,54,290.7,8.4,5.4,83,1912
Pêssegos secos,8.5,87,1.7,173,86.8,1.2,4.3,65,257
Ameixas secas,12.8,99,2.5,154,85.7,3.9,4.3,65,257
Feijão verde seco,17.4,1055,3.7,459,5.1,26.9,38.2,93,0
Feijão branco seco,26.9,1691,11.4,792,0,38.4,24.6,217,0
Produto X,58,0,6.3,0,52,0,4.4,0,45
